German	Spanish
ich fürchte um sein Leben	 temi por su vida
die Angst	 el miedo
die Temperatur	 la temperatura
die Temperatur fiel unter 0 Grad	 la temperatura cayó bajo cero grados
die Temperatur stieg auf über 40 Grad	 la temperatura subió por encima de 40 grados
der Sturm	 la tempestad
letzte Nacht gab es einen schweren Sturm	 la noche pasada se desencadenó una tempestad fuerte
früh(zeitig)	 temprano
ich stand früh auf	 me levanté temprano
früher oder später	 tarde o temprano
je früher desto besser	 cuanto más temprano mejor
die Gabel	 el tenedor
die Gabel ist ein Teil des Bestecks	 el tenedor es una parte de la cubertería
haben, besitzen	 tener
er hat drei Autos	 tiene tres coches
wie als sind Sie? Ich bin 20 Jahre alt	 ¿cuántos años tiene? Tengo veinte años
stattfinden	 tener lugar
müssen	 tener que
wir müssen sofort abreisen	 tenemos que partir en seguida
dritte(r, s)	 tercero (m.) / tercer (vor männl. Sub. im Sing.) / tercera (f.)
an dritter Stelle / drittens	 en tercer lugar
der dritte Teil	 la tercera parte
schrecklich / furchtbar	 terrible
es ist ihm ein schrecklicher Unfall passiert	 le ha ocurrido un accidente terrible
der Text	 el texto
lies diesen Text	 lee ese texto
die Zeit / das Wetter	 el tiempo
die ganze Zeit	 todo el tiempo
gleichzeitig, zur gleichen Zeit	 al mismo tiempo
vor langer Zeit	 hace mucho tiempo
es braucht Zeit	 se requiere tiempo
wie ist das Wetter?	 ¿qué tiempo hace?
das Wetter ist schön / schlecht	 hace buen / mal tiempo
der Laden / das Geschäft	 la tienda
ich gehe in diesem Laden einkaufen	 voy de compras a esa tienda
die Erde	 la tierra
die Erde dreht sich um die Sonne	 la tierra gira alrededor del sol
die Klingel	 el timbre
es klingelt	 tocan el timbre
es hat geklingelt	 han tocado el timbre
der Onkel	 el tío 
die Tante	 la tía
der Bruder meines Vaters ist mein Onkel	 el hermano de mi padre es mi tío
berühren	 tocar
nicht berühen!	 ¡no tocar! / ¡prohibido tocar! 
was Ihren Sohn betrifft	 por lo que toca a su hijo
noch	 todavía
es ist noch Zeit	 todavía hay tiempo
er ist noch nicht gekommen	 todavía no ha venido
alle / alles / ganz	 todo
kommt alle her	 venid todos aquí
alles ist in Ordnung	 todo está en orden
die ganze Schule mach sich über diese Lehrerin lustig	 toda la escuela se burla de esta maestra
nehmen / fangen	 tomar
er nahm das Geld und ging	 tomó el dinero y se fue
ich fing den Ball	 tomé la pelota
dumm	 tonto
der Dummkopf	 el tonto
sich wie ein Dummkopf benehmen	 hacer el tonto
das Gewitter	 la tormenta
ein heftiges Gewitter hat die Pflanzen im Garten zerstört	 una fuerte tormenta destruyó las plantas en el jardín
der Stier	 el toro
Stierkampf	 corrida de torros
zum Stierkampf gehen	 ir a los torros
arbeiten	 trabajar
ich habe viel gearbeitet	 he trabajado mucho
die Arbeit	 el trabajo
(her-, mit)bringen	 traer
bringen Sie mir das Buch dort bitte	 traigame ese libro, pro favor
der Verkehr	 el tráfico
die Polizei hat den Verkehr geregelt	 la policía ha dirigido el tráfico
die Kleidung / das Kleidungsstück	 el traje
sie zog sich um	 se cambió de traje
ruhig / still	 tranquilo
lass mich in Ruhe!	 ¡déjame tranquilo!
der Verkehr	 el tránsito
heute Nachmittag war viel Verkehr auf der Autobahn	 esta tarde hubo mucho tránsito en la autopista
transportieren	 transportar
die Kiste muss nach Madrid transportiert werden	 hay que transportar la caja a Madrid
der Transport	 el transporte
die Straßenbahn	 el tranvía
mit der Straßenbahn fahren	 ir en tranvía
versuchen etw. zu tun	 tratar de hacer algo
er versuchte seine Hausaufgaben zu machen	 trató de hacer los deberes
dreizehn	 trece
ich bin dreizehn Jahre alt	 tengo trece años
dreißig	 treinta 
das Buch kostet dreißig Euro	 el libre cuesta treinta euros
der Zug	 el tren
mit dem Zug fahren	 ir en tren
den Zug erreichen	 coger el tren
den Zug versäumen	 perder el tren
umsteigen	 cambiar de tren
der Zug hat Verspätung	 el tren lleva retraso
drei	tres
Juan hat drei Autos	Juan tiene tres coches
dreihundert	 trescientos
ich habe dreihundert Euro umgetauscht	 he cambiado trescientos euros
trausig	 triste
er ist traurig	 está triste
es ist traurig	 es triste
die Traurigkeit	 la tristeza
das Stück	 el trozo
ein Stück Brot	 un trozo de pan
donnern	 tronar
es donnert	 truena
es donnert	 está tronando
der Donner	 el trueno
oder	 u (vor o, ho)
Spanien oder Holland	 España u Holanda
letzte(r,s)	 último
er kam zuletzt	 ha venido en último lugar
Ende November	 a últimos de noviembre
ein, eine	 un (m.), una (f.)
ein Mann	 un hombre
eine Frau	 una mujer
ein Buch	 un libro
die Universität	 la universidad
ich studiere an der Universität von Madrid	 estudio en la universidad de Madrid
eins	 uno
eins, zwei, drei	 uno, dos, tres
einige	 unos (m.), unas (f.)
ich habe ein paar Bücher	 tengo unos libros
ich habe ein paar Sachen	 tengo unas cosas
benutzen, verwenden	 usar
der Gebrauch, die Benutzung	 el uso
von etw. Gebrauch machen	 hacer uso de algo
nützlich	 útil
nütlich sein	 ser útil
sich als nützlich erweisen	 resultar útil
nutzlos	 inútil
benutzen / verwenden	 utilizar
zu seinem Vorteil verwenden	 utilizar para su ventaja
die Kuh	 la vaca
dieser Bauer hat dreißig Kühe	 ese campesino tiene treinta vacas
die Ferien / der Urlaub	 las vacaciones
wir sind im Urlaub	 estamos de vacaciones
leer	 vacío
eine leere Flasche	 una botella vacía
kosten / wert sein	 valer
wie viel kostet es?	 ¿cuánto vale?
mehrere	 varios
ich traf ihn mehrere Male	 le he encontrado varias veces
das Glas	 el vaso
ein Glas Wein	 un vaso de vino
der Nachbar	 el vecino
die Nachbarin	 la vecina
Juan hat eine Wohnung im gleichen Haus, er ist mein Nachbar	 Juan tiene un apartamento en la misma casa, es mi vecino
zwanzig	 veinte
einundzwanzig	 veintiuno
zweiundzwanzig	 veintidós
dreiundzwanzig	 veintitrés
verkaufen	 vender
ich habe mein Haus verkauft	 he vendido mi casa
der Verkauf	 la venta
kommen	 venir
er kam spät	 ha venido tarde
das Fenster	 la ventana
öffne das Fenster	 abre la ventana
schließe das Fenster	 cierra la ventana
sehen	 ver
zeig mal her!	 ¡a ver!
wir wollen mal sehen	 vamos a ver
ich werde meinen Vater besuchen	 iré a ver a mi padre
sich mit jm. treffen	 verse con alg.
der Sommer	 el verano
im Sommer	 en verano
die Wahrheit	 la verdad
die Wahrheit sagen	 decir la verdad
nicht wahr?	 ¿verdad?
im Ernst	 de verdad
es stimmt!	 ¡es verdad!
grün	 verde
welche Farbe hat dein Auto? Grün	 ¿de qué color es to coche? Verde
(sich) anziehen	 vestir(se)
sich rot kleiden	 vestirse de rojo
das Kleid / die Kleidung	 el vestido
ein Kleid tragen	 llevar un vestido
das Mal	 la vez
jedes Mal	 cada vez
das nächste Mal	 la próxima vez
einmal / noch einmal	 una vez / una vez más - orta vez
zum ersten / letzten Mal	 pro primera / última vez
manchmal	 a veces
oft	 muchas veces
der Weg	 la vía
diesen Weg nehmen alle Passagiere	 por esta vía pasan todos los pasajeros
reisen	 viajar
die Reise	 el viaje
verreisen	 ir de viaje
alt	 viejo
eine alte Frau	 una mujer vieja
das Auto ist alt	 el coche es viejo
der Wind	 el viento
es ist windig	 hace viento
der Freitag	 el viernes
freitags	 los viernes
nächsten Freitag	 el próximo viernes
nächsten Freitag	 el viernes que viene
letzten Freitag	 el viernes pasade
jeden Freitag	 cada viernes
der Essig	 el vinagre
Essig verwendet man zum Würzen von Salaten	 el vinagre se usa como condimento en las ensaladas
der Wein	 el vino
magst du Weiß-/Rotwein?	 ¿te gusta el vino blanco/tinto?
besuchel / besichtigen	 visitar
einen Besuch abstatten	 hacer una visita
der Besuch	 la visita
leben / wohnen	 vivir
ich leben in Madrid	 vivo en Madrid
ich wohne in der Mühlenstraße Nummer 5	 vivo en el número cinco de la calle Molino
das Leben	 la vida
fliegen	 volar
Vögel können fliegen	 los pájaros pueden volar
der Flug	 el vuelo
volver	 zurückkehren
volvió ayer	 er ist gestern zurückgekehrt 
la vuelta	 die Rückkehr
und	 y
du und ich	 tú y yo
schon	 ya
er ist schon gekommen	 ya ha venido
der Schuh	 el zapato
ein Paar Schuhe	 un par de zapatos
sich die Schuhe anziehen	 ponerse los zapatos
der Saft	 el zumo
schmeckt dir der Orangensaft?	 ¿te gusta el zumo de naranja?
